Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
5.306, 0, 1.197516, 28.12, 0.947521
16.504, 10, 0.593007, 68.75, 1.333646
26.552, 20, 0.893908, 48.44, 1.248242
39.132, 30, 0.561990, 79.69, 1.870108
50.529, 40, 0.646659, 64.06, 2.548308
61.645, 50, 0.758119, 62.50, 1.162108
73.070, 60, 0.827966, 51.56, 1.891052
85.509, 70, 0.387803, 82.81, 0.648898
96.222, 80, 0.898431, 54.69, 1.998068
107.788, 90, 0.751497, 60.94, 1.120749
119.402, 100, 0.706577, 60.94, 1.493222
131.185, 110, 0.766635, 59.38, 1.558120
143.085, 120, 0.690280, 57.81, 1.240185
153.959, 130, 0.560882, 75.00, 1.352012
165.217, 140, 0.740181, 60.94, 1.433259
176.382, 150, 0.608593, 71.88, 2.236126
188.992, 160, 0.490254, 76.56, 2.074232
200.582, 170, 0.575831, 70.31, 1.182497
211.754, 180, 0.690550, 59.38, 2.296992
222.500, 190, 0.375663, 84.38, 2.414689
233.193, 200, 0.231131, 92.19, 2.133890
244.013, 210, 0.746360, 54.69, 1.896675
254.276, 220, 1.835078, 23.44, 0.412053
264.646, 230, 0.990600, 43.75, 1.046176
275.376, 240, 0.876793, 50.00, 0.664331
287.869, 250, 0.896840, 37.50, 0.599232
302.955, 260, 0.677724, 62.50, 1.371451
317.300, 270, 0.540597, 75.00, 1.007319
331.243, 280, 0.586776, 70.31, 1.580598
345.511, 290, 0.591597, 64.06, 1.085709
358.985, 300, 0.614101, 64.06, 1.360064
373.151, 310, 0.755653, 50.00, 1.229291
388.717, 320, 0.515466, 73.44, 1.219476
406.053, 330, 0.437351, 84.38, 1.035584
421.347, 340, 0.643735, 64.06, 1.502450
436.852, 350, 0.713866, 68.75, 1.389228
452.786, 360, 0.657824, 59.38, 1.176254
468.192, 370, 0.658775, 62.50, 1.275611
483.912, 380, 0.841489, 48.44, 1.004177
499.458, 390, 0.649858, 67.19, 0.860681
512.930, 400, 0.719716, 59.38, 1.170508
526.997, 410, 0.927755, 39.06, 0.885030
538.744, 420, 0.629300, 62.50, 1.338508
549.005, 430, 0.872012, 46.88, 1.139419
561.133, 440, 0.749535, 53.12, 1.259528
572.040, 450, 0.583436, 67.19, 1.235736
583.146, 460, 0.597633, 64.06, 1.237645
593.504, 470, 0.519910, 71.88, 0.729103
603.881, 480, 0.595626, 70.31, 0.924520
614.598, 490, 0.887042, 43.75, 0.884589
624.655, 500, 0.561833, 70.31, 0.975889
635.230, 510, 0.967170, 39.06, 1.010514
644.952, 520, 0.637298, 59.38, 0.678693
654.712, 530, 0.623240, 65.62, 0.631441
664.423, 540, 0.604326, 67.19, 1.263989
674.182, 550, 0.810315, 51.56, 0.860479
684.490, 560, 0.751655, 50.00, 1.001120
694.188, 570, 0.747515, 54.69, 0.870068
704.003, 580, 0.816642, 50.00, 1.013088
714.479, 590, 0.717479, 56.25, 1.210034
724.835, 600, 0.784878, 56.25, 0.581956
735.328, 610, 0.590587, 68.75, 0.984117
745.596, 620, 0.744337, 56.25, 0.958314
757.751, 630, 1.007908, 39.06, 1.029372
770.010, 640, 0.861261, 39.06, 0.887051
781.361, 650, 0.714628, 48.44, 0.803166
793.399, 660, 0.859393, 46.88, 1.144490
805.736, 670, 0.855325, 40.62, 0.691041
816.377, 680, 0.941148, 39.06, 0.983366
827.421, 690, 0.654513, 68.75, 1.180043
837.492, 700, 0.829231, 45.31, 0.836177
848.335, 710, 0.772435, 60.94, 1.259717
858.856, 720, 0.674655, 50.00, 0.959791
869.499, 730, 0.744530, 50.00, 0.919265
879.380, 740, 0.632096, 59.38, 0.834423
890.690, 750, 0.528004, 78.12, 0.917283
901.805, 760, 0.852319, 40.62, 0.966086
912.987, 770, 0.657691, 70.31, 1.033992
924.424, 780, 0.630417, 64.06, 1.032475
935.301, 790, 0.697281, 57.81, 0.841558
946.277, 800, 0.704209, 62.50, 1.009807
960.280, 810, 0.763811, 50.00, 1.000653
972.252, 820, 0.701864, 62.50, 1.184460
985.056, 830, 0.794370, 43.75, 1.119426
996.463, 840, 0.714151, 56.25, 0.931445
1006.404, 850, 0.654676, 67.19, 1.135873
1016.754, 860, 0.932954, 34.38, 0.811864
1026.521, 870, 0.724743, 51.56, 0.986317
1036.248, 880, 0.796492, 42.19, 1.054013
1045.973, 890, 0.869676, 40.62, 0.949735
1055.753, 900, 0.785476, 51.56, 1.058209
1065.990, 910, 0.809105, 43.75, 0.828596
1075.774, 920, 0.977386, 37.50, 0.998675
1085.511, 930, 0.803566, 42.19, 1.086995
1095.276, 940, 0.712889, 48.44, 0.752339
1104.965, 950, 0.770604, 54.69, 0.947848
1115.306, 960, 0.754497, 48.44, 0.927070
1125.118, 970, 0.710271, 60.94, 0.935640
1134.933, 980, 0.796178, 48.44, 0.853985
1144.683, 990, 0.804063, 45.31, 0.884817
1154.533, 1000, 0.718729, 54.69, 0.805082
1164.899, 1010, 0.654126, 60.94, 0.989948
1174.620, 1020, 0.579267, 62.50, 0.986719
1184.463, 1030, 0.687526, 62.50, 1.195422
1194.164, 1040, 0.727286, 50.00, 0.989838
1203.862, 1050, 0.721378, 51.56, 1.023264
1214.215, 1060, 0.711235, 54.69, 1.186109
1223.931, 1070, 0.714593, 53.12, 0.920682
1233.600, 1080, 0.630709, 62.50, 0.853709
1243.440, 1090, 0.739362, 48.44, 0.970081
1253.273, 1100, 0.543332, 73.44, 1.196290
1263.584, 1110, 0.831013, 40.62, 0.877633
1273.463, 1120, 0.879058, 43.75, 0.860968
1283.237, 1130, 0.702744, 54.69, 1.085741
1292.923, 1140, 0.835234, 46.88, 1.013835
1302.722, 1150, 0.724437, 50.00, 0.840465
1312.971, 1160, 0.629874, 65.62, 0.961796
1322.680, 1170, 0.819245, 50.00, 1.003046
1332.484, 1180, 0.779467, 42.19, 0.779600
1342.231, 1190, 0.830699, 45.31, 0.885988
1351.933, 1200, 0.714725, 53.12, 0.896268
1362.234, 1210, 0.760580, 48.44, 0.740044
1371.939, 1220, 0.677299, 59.38, 0.816776
1381.628, 1230, 0.604596, 67.19, 1.012112
1391.409, 1240, 0.662294, 64.06, 0.988836
1401.109, 1250, 0.773659, 48.44, 0.951968
1411.403, 1260, 0.825644, 29.69, 0.909634
1421.175, 1270, 0.666656, 57.81, 0.950773
1430.811, 1280, 0.557605, 78.12, 0.848550
1440.504, 1290, 0.597911, 64.06, 1.014493
1450.326, 1300, 0.747275, 42.19, 0.967509
1460.492, 1310, 0.701642, 59.38, 0.894290
1470.197, 1320, 0.783917, 46.88, 0.647578
1480.016, 1330, 0.704547, 59.38, 1.236448
1489.694, 1340, 0.703437, 56.25, 0.982895
1499.411, 1350, 0.740230, 51.56, 0.802532
1509.734, 1360, 0.834212, 43.75, 0.916420
1519.464, 1370, 0.754056, 51.56, 0.988739
1529.211, 1380, 0.687179, 64.06, 0.998362
1538.974, 1390, 0.691467, 59.38, 0.971569
1548.663, 1400, 0.773312, 45.31, 0.910256
1558.942, 1410, 0.851872, 32.81, 0.900675
1568.736, 1420, 0.665220, 64.06, 1.104154
1578.398, 1430, 0.790663, 48.44, 0.714865
1588.065, 1440, 0.786370, 46.88, 1.002496
1597.841, 1450, 0.813897, 46.88, 0.913544
1608.015, 1460, 0.801023, 37.50, 0.847101
1617.665, 1470, 0.701515, 56.25, 1.002059
1627.457, 1480, 0.799010, 46.88, 0.866203
1637.148, 1490, 0.640002, 67.19, 0.943275
1646.783, 1500, 0.788427, 48.44, 0.848429
1657.127, 1510, 0.689128, 57.81, 0.945172
1666.855, 1520, 0.607936, 68.75, 0.826698
1676.556, 1530, 0.704887, 59.38, 1.069133
1686.345, 1540, 0.709221, 53.12, 1.214769
1696.298, 1550, 0.732964, 54.69, 0.864387
1706.575, 1560, 0.772124, 43.75, 1.140548
1716.323, 1570, 0.772028, 46.88, 0.901801
