Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
2.720, 0, 0.853389, 51.56, 0.928979
4.314, 10, 0.588188, 37.50, 0.817491
5.479, 20, 0.760847, 48.44, 0.861191
6.639, 30, 0.512045, 59.38, 0.857346
7.807, 40, 0.382653, 62.50, 0.981201
8.979, 50, 0.312306, 64.06, 1.036751
10.152, 60, 0.283968, 57.81, 1.221876
11.457, 70, 0.357026, 65.62, 1.046355
12.770, 80, 0.290510, 60.94, 1.117193
14.117, 90, 0.485108, 53.12, 1.167409
15.406, 100, 0.481361, 50.00, 1.307196
16.743, 110, 0.454985, 64.06, 1.214535
18.041, 120, 0.378783, 60.94, 1.207634
19.285, 130, 0.625924, 43.75, 2.035195
20.455, 140, 0.289934, 57.81, 1.256471
21.624, 150, 0.444341, 50.00, 0.989874
22.792, 160, 0.361812, 54.69, 1.523608
23.963, 170, 0.276622, 59.38, 1.217453
25.187, 180, 0.530733, 43.75, 1.054434
26.490, 190, 0.417025, 45.31, 1.343499
27.674, 200, 0.293235, 62.50, 1.395488
29.266, 210, 0.294986, 56.25, 1.664697
30.438, 220, 0.235742, 70.31, 1.822170
31.616, 230, 0.415924, 43.75, 1.062653
32.815, 240, 0.333458, 59.38, 1.299460
33.987, 250, 0.447047, 43.75, 0.943593
35.160, 260, 0.315048, 57.81, 0.952189
36.342, 270, 0.296254, 70.31, 1.117558
37.556, 280, 0.316237, 50.00, 1.095476
38.787, 290, 0.355446, 54.69, 1.284086
40.052, 300, 0.365101, 46.88, 1.027399
41.251, 310, 0.400137, 46.88, 1.074211
42.502, 320, 0.310171, 56.25, 0.869555
44.000, 330, 0.339614, 53.12, 0.978590
45.381, 340, 0.355255, 51.56, 1.311990
46.641, 350, 0.347576, 59.38, 1.271999
47.991, 360, 0.327702, 48.44, 1.208003
49.414, 370, 0.336778, 50.00, 1.262749
50.742, 380, 0.352908, 46.88, 1.186033
51.983, 390, 0.392041, 53.12, 0.868618
53.368, 400, 0.386124, 46.88, 1.419088
55.440, 410, 0.385765, 39.06, 1.132841
56.718, 420, 0.347446, 46.88, 0.971220
58.106, 430, 0.283518, 59.38, 1.148822
59.522, 440, 0.388633, 50.00, 1.008034
60.944, 450, 0.264769, 62.50, 0.887290
62.331, 460, 0.344711, 56.25, 1.035860
63.539, 470, 0.309973, 56.25, 1.267892
64.827, 480, 0.179831, 76.56, 0.842079
66.038, 490, 0.362086, 51.56, 0.843349
67.307, 500, 0.295272, 46.88, 0.931942
68.510, 510, 0.326604, 50.00, 0.998422
69.817, 520, 0.364307, 51.56, 1.107724
71.298, 530, 0.283580, 64.06, 1.054910
72.995, 540, 0.291210, 64.06, 1.242144
74.412, 550, 0.230967, 64.06, 0.939425
75.785, 560, 0.305169, 51.56, 0.852843
77.191, 570, 0.272296, 67.19, 1.201519
78.619, 580, 0.205958, 71.88, 1.108057
80.283, 590, 0.183538, 68.75, 1.123541
81.846, 600, 0.319264, 54.69, 1.170579
84.068, 610, 0.326130, 48.44, 0.895295
85.642, 620, 0.392790, 51.56, 0.914190
87.169, 630, 0.488968, 37.50, 1.065385
88.523, 640, 0.257828, 56.25, 1.117617
89.794, 650, 0.225866, 59.38, 0.982969
91.076, 660, 0.248661, 65.62, 0.976910
92.389, 670, 0.241989, 62.50, 0.950082
93.723, 680, 0.297723, 53.12, 1.232129
95.057, 690, 0.258892, 59.38, 0.851891
96.370, 700, 0.245992, 64.06, 1.051642
97.662, 710, 0.269440, 57.81, 0.987002
98.972, 720, 0.330979, 56.25, 0.975424
100.301, 730, 0.389365, 39.06, 1.023822
101.559, 740, 0.286224, 51.56, 0.797345
102.920, 750, 0.258130, 59.38, 0.912685
104.380, 760, 0.205120, 64.06, 1.073134
105.706, 770, 0.288926, 56.25, 0.934441
106.935, 780, 0.250499, 60.94, 0.958158
108.157, 790, 0.270280, 57.81, 1.104538
109.436, 800, 0.370047, 48.44, 1.610135
111.116, 810, 0.409469, 43.75, 1.029081
112.531, 820, 0.397865, 35.94, 0.877944
113.883, 830, 0.218744, 68.75, 0.923460
115.247, 840, 0.271353, 57.81, 0.974476
116.454, 850, 0.252061, 57.81, 0.835425
117.692, 860, 0.291505, 50.00, 0.935647
119.004, 870, 0.233508, 65.62, 1.015407
120.305, 880, 0.246998, 62.50, 1.150285
121.623, 890, 0.170122, 76.56, 0.995216
122.937, 900, 0.228088, 68.75, 0.979152
124.213, 910, 0.212242, 64.06, 1.039627
125.427, 920, 0.241281, 57.81, 1.107790
126.623, 930, 0.275573, 60.94, 0.985916
127.916, 940, 0.212572, 65.62, 1.228515
129.330, 950, 0.194613, 71.88, 0.994928
130.659, 960, 0.227847, 64.06, 0.762548
131.940, 970, 0.203167, 76.56, 0.904551
133.211, 980, 0.300272, 59.38, 0.689893
134.521, 990, 0.204275, 65.62, 0.831479
135.791, 1000, 0.211293, 73.44, 0.854309
137.554, 1010, 0.240545, 62.50, 0.906089
138.845, 1020, 0.300411, 64.06, 1.144780
140.186, 1030, 0.215178, 62.50, 1.011649
141.449, 1040, 0.205833, 65.62, 0.939052
142.641, 1050, 0.159941, 82.81, 0.918904
143.838, 1060, 0.224067, 62.50, 0.934517
145.071, 1070, 0.225469, 64.06, 0.930046
146.588, 1080, 0.304616, 53.12, 0.926795
148.027, 1090, 0.186930, 70.31, 1.078059
149.478, 1100, 0.223189, 70.31, 1.168980
150.865, 1110, 0.319210, 51.56, 1.017024
152.370, 1120, 0.222969, 59.38, 1.041083
