Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, DiscriminatorOpAcc, GeneratorLoss
6.225, 0, 0.869285, 37.50, 14.06, 0.686861
19.599, 10, 0.393754, 60.94, 50.00, 1.226477
32.943, 20, 0.310107, 81.25, 53.12, 1.491110
46.182, 30, 0.202167, 93.75, 50.00, 1.678420
59.005, 40, 0.304041, 78.12, 51.56, 1.952468
71.675, 50, 0.370552, 67.19, 51.56, 1.294730
83.638, 60, 0.517493, 53.12, 46.88, 1.140590
95.332, 70, 0.425955, 62.50, 50.00, 1.445453
107.737, 80, 0.314765, 73.44, 53.12, 1.655867
119.750, 90, 0.336055, 73.44, 51.56, 1.474641
130.896, 100, 0.339433, 73.44, 53.12, 1.645036
140.982, 110, 0.139754, 95.31, 60.94, 2.574821
151.009, 120, 0.092153, 100.00, 64.06, 3.037943
161.536, 130, 0.044901, 100.00, 87.50, 3.663561
175.218, 140, 0.040837, 100.00, 96.88, 3.494181
186.509, 150, 0.026431, 98.44, 93.75, 3.604485
197.493, 160, 0.094249, 95.31, 70.31, 1.789025
208.421, 170, 0.919107, 20.31, 50.00, 0.727935
219.307, 180, 0.855954, 31.25, 50.00, 1.247362
230.294, 190, 0.595169, 42.19, 48.44, 1.316185
241.178, 200, 0.405379, 60.94, 50.00, 1.260386
252.737, 210, 0.424891, 60.94, 51.56, 1.888123
263.726, 220, 0.456355, 53.12, 50.00, 1.571072
274.610, 230, 0.404201, 60.94, 48.44, 1.095370
285.581, 240, 0.414317, 60.94, 50.00, 1.218389
296.407, 250, 0.436408, 67.19, 48.44, 1.299829
307.302, 260, 0.338723, 68.75, 51.56, 1.731078
318.279, 270, 0.444433, 53.12, 50.00, 1.291378
329.143, 280, 0.314165, 75.00, 50.00, 1.539440
340.037, 290, 0.472318, 46.88, 50.00, 1.223708
351.002, 300, 0.417652, 54.69, 51.56, 1.379851
361.867, 310, 0.437045, 53.12, 50.00, 1.244559
372.708, 320, 0.417776, 62.50, 51.56, 1.399535
383.668, 330, 0.317296, 75.00, 51.56, 1.340266
394.595, 340, 0.415352, 53.12, 48.44, 1.638311
405.557, 350, 0.407703, 57.81, 50.00, 1.331223
416.382, 360, 0.387838, 59.38, 50.00, 1.625722
427.207, 370, 0.366820, 75.00, 50.00, 1.110320
438.211, 380, 0.337924, 70.31, 50.00, 1.551771
449.196, 390, 0.309736, 73.44, 50.00, 1.766062
460.079, 400, 0.452013, 56.25, 51.56, 1.251265
471.976, 410, 0.448087, 48.44, 51.56, 1.060871
486.295, 420, 0.351986, 67.19, 50.00, 1.711149
500.616, 430, 0.489832, 48.44, 50.00, 1.097335
