Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
2.875, 0, 0.629362, 59.38, 0.445844
4.674, 10, 0.422868, 82.81, 0.896278
5.896, 20, 0.263470, 90.62, 1.396776
7.111, 30, 0.478791, 81.25, 1.727658
8.337, 40, 0.437123, 85.94, 1.677434
9.561, 50, 0.369325, 84.38, 1.792368
10.860, 60, 0.399092, 84.38, 1.818095
12.271, 70, 0.408636, 82.81, 2.202077
13.546, 80, 0.619056, 70.31, 1.922634
14.910, 90, 0.686660, 68.75, 1.604823
16.362, 100, 0.676394, 70.31, 1.839140
17.668, 110, 0.402315, 78.12, 1.551185
19.039, 120, 0.578465, 65.62, 1.742860
20.690, 130, 0.543550, 71.88, 1.808328
22.302, 140, 0.512354, 75.00, 1.555213
23.739, 150, 0.629639, 67.19, 1.461654
25.252, 160, 0.601780, 70.31, 1.576971
26.819, 170, 0.628753, 62.50, 1.567267
28.349, 180, 0.775360, 48.44, 1.371880
30.128, 190, 0.585763, 71.88, 1.494041
31.765, 200, 0.624616, 70.31, 1.342412
34.317, 210, 0.762279, 59.38, 1.628177
36.209, 220, 0.534784, 79.69, 1.415753
38.380, 230, 0.681862, 59.38, 1.588888
40.481, 240, 0.633655, 67.19, 1.497087
42.423, 250, 0.696689, 54.69, 1.672883
44.646, 260, 0.673583, 64.06, 1.408624
46.676, 270, 0.574216, 70.31, 1.677933
48.770, 280, 0.535496, 76.56, 1.498370
50.732, 290, 0.670391, 56.25, 1.416796
52.710, 300, 0.674493, 65.62, 1.571318
54.316, 310, 0.671748, 48.44, 1.337750
56.152, 320, 0.758038, 53.12, 1.380524
58.062, 330, 0.639748, 59.38, 1.392502
59.771, 340, 0.706728, 62.50, 1.415655
61.041, 350, 0.646077, 60.94, 1.244192
62.382, 360, 0.655549, 60.94, 1.291229
63.821, 370, 0.680748, 64.06, 1.267840
65.564, 380, 0.650246, 62.50, 1.228536
67.613, 390, 0.703147, 51.56, 1.219307
69.194, 400, 0.748151, 48.44, 1.308951
71.925, 410, 0.686475, 54.69, 1.250408
73.620, 420, 0.592529, 76.56, 1.369180
75.262, 430, 0.575675, 65.62, 1.345414
76.558, 440, 0.609388, 60.94, 1.430880
77.848, 450, 0.679600, 62.50, 1.251927
79.090, 460, 0.656951, 67.19, 1.430769
80.399, 470, 0.807492, 46.88, 1.389021
81.782, 480, 0.609605, 60.94, 1.344132
82.976, 490, 0.677265, 64.06, 1.250239
84.278, 500, 0.733993, 48.44, 1.385211
85.530, 510, 0.571440, 68.75, 1.274108
86.917, 520, 0.736247, 54.69, 1.349950
88.217, 530, 0.653204, 67.19, 1.401208
89.418, 540, 0.661624, 59.38, 1.370442
90.556, 550, 0.701602, 60.94, 1.261053
91.706, 560, 0.628267, 67.19, 1.279105
92.834, 570, 0.643597, 65.62, 1.313344
93.971, 580, 0.606215, 67.19, 1.300139
95.112, 590, 0.709826, 57.81, 1.261646
96.251, 600, 0.698004, 57.81, 1.297978
97.804, 610, 0.636616, 60.94, 1.312388
98.963, 620, 0.618938, 71.88, 1.321093
100.108, 630, 0.620734, 60.94, 1.361148
101.251, 640, 0.715876, 51.56, 1.232885
102.395, 650, 0.792659, 54.69, 1.318154
103.552, 660, 0.643279, 64.06, 1.330008
104.720, 670, 0.660316, 59.38, 1.204216
105.865, 680, 0.544839, 70.31, 1.330299
107.005, 690, 0.698431, 62.50, 1.153199
108.154, 700, 0.564140, 71.88, 1.500021
109.309, 710, 0.712829, 56.25, 1.225586
110.452, 720, 0.628639, 62.50, 1.231527
111.600, 730, 0.551327, 70.31, 1.267870
112.762, 740, 0.666097, 60.94, 1.246586
113.898, 750, 0.641422, 60.94, 1.089594
115.043, 760, 0.582914, 68.75, 1.318825
116.239, 770, 0.640837, 70.31, 1.259981
117.423, 780, 0.612642, 68.75, 1.141143
118.563, 790, 0.556795, 71.88, 1.190342
119.714, 800, 0.688652, 62.50, 1.336472
121.272, 810, 0.728872, 54.69, 1.333670
